t_s,H_m,v_m_s,y_m,theta_rad,omega_rad_s
0.000000,0.000000,0.000000,0.000000,0.034907,0.000000
0.010000,0.000500,0.100000,0.000017,0.034906,-0.000017
0.020000,0.002000,0.200000,0.000070,0.034906,-0.000035
0.030000,0.004500,0.300000,0.000157,0.034906,-0.000052
0.040000,0.008000,0.400000,0.000279,0.034905,-0.000070
0.050000,0.012500,0.500000,0.000436,0.034904,-0.000087
0.060000,0.018000,0.600000,0.000628,0.034903,-0.000105
0.070000,0.024500,0.700000,0.000855,0.034902,-0.000122
0.080000,0.032000,0.800000,0.001117,0.034901,-0.000140
0.090000,0.040500,0.900000,0.001413,0.034900,-0.000157
0.100000,0.050000,1.000000,0.001745,0.034898,-0.000175
0.110000,0.060500,1.100000,0.002111,0.034896,-0.000192
0.120000,0.072000,1.200000,0.002512,0.034894,-0.000209
0.130000,0.084500,1.300000,0.002948,0.034892,-0.000227
0.140000,0.098000,1.400000,0.003419,0.034889,-0.000244
0.150000,0.112500,1.500000,0.003925,0.034887,-0.000262
0.160000,0.128000,1.600000,0.004466,0.034884,-0.000279
0.170000,0.144500,1.700000,0.005041,0.034881,-0.000297
0.180000,0.162000,1.800000,0.005651,0.034878,-0.000314
0.190000,0.180500,1.900000,0.006297,0.034875,-0.000332
0.200000,0.200000,2.000000,0.006976,0.034872,-0.000349
0.210000,0.220500,2.100000,0.007691,0.034868,-0.000367
0.220000,0.242000,2.200000,0.008441,0.034864,-0.000384
0.230000,0.264500,2.300000,0.009225,0.034860,-0.000401
0.240000,0.288000,2.400000,0.010044,0.034856,-0.000419
0.250000,0.312500,2.500000,0.010898,0.034852,-0.000436
0.260000,0.338000,2.600000,0.011786,0.034848,-0.000454
0.270000,0.364500,2.700000,0.012709,0.034843,-0.000471
0.280000,0.392000,2.800000,0.013667,0.034838,-0.000489
0.290000,0.420500,2.900000,0.014660,0.034833,-0.000506
0.300000,0.450000,3.000000,0.015687,0.034828,-0.000524
0.310000,0.480500,3.100000,0.016749,0.034823,-0.000541
0.320000,0.512000,3.200000,0.017846,0.034817,-0.000559
0.330000,0.544500,3.300000,0.018977,0.034812,-0.000576
0.340000,0.578000,3.400000,0.020143,0.034806,-0.000593
0.350000,0.612500,3.500000,0.021343,0.034800,-0.000611
0.360000,0.648000,3.600000,0.022578,0.034793,-0.000628
0.370000,0.684500,3.700000,0.023848,0.034787,-0.000646
0.380000,0.722000,3.800000,0.025152,0.034781,-0.000663
0.390000,0.760500,3.900000,0.026491,0.034774,-0.000681
0.400000,0.800000,4.000000,0.027864,0.034767,-0.000698
0.410000,0.840500,4.100000,0.029271,0.034760,-0.000716
0.420000,0.882000,4.200000,0.030714,0.034753,-0.000733
0.430000,0.924500,4.300000,0.032190,0.034745,-0.000750
0.440000,0.968000,4.400000,0.033701,0.034738,-0.000768
0.450000,1.012500,4.500000,0.035246,0.034730,-0.000785
0.460000,1.058000,4.600000,0.036826,0.034722,-0.000803
0.470000,1.104500,4.700000,0.038440,0.034714,-0.000820
0.480000,1.152000,4.800000,0.040088,0.034706,-0.000838
0.490000,1.200500,4.900000,0.041771,0.034697,-0.000855
0.500000,1.250000,5.000000,0.043488,0.034688,-0.000873
0.510000,1.300500,5.100000,0.045239,0.034680,-0.000890
0.520000,1.352000,5.200000,0.047025,0.034671,-0.000907
0.530000,1.404500,5.300000,0.048844,0.034661,-0.000925
0.540000,1.458000,5.400000,0.050698,0.034652,-0.000942
0.550000,1.512500,5.500000,0.052586,0.034643,-0.000960
0.560000,1.568000,5.600000,0.054508,0.034633,-0.000977
0.570000,1.624500,5.700000,0.056464,0.034623,-0.000995
0.580000,1.682000,5.800000,0.058454,0.034613,-0.001012
0.590000,1.740500,5.900000,0.060478,0.034603,-0.001029
0.600000,1.800000,6.000000,0.062537,0.034592,-0.001047
0.610000,1.860500,6.100000,0.064629,0.034582,-0.001064
0.620000,1.922000,6.200000,0.066755,0.034571,-0.001082
0.630000,1.984500,6.300000,0.068915,0.034560,-0.001099
0.640000,2.048000,6.400000,0.071108,0.034549,-0.001116
